Branch Name,Types,Business Status,City,Province,Region,Address,Latitude,Longitude,Rating,User Ratings Count,Place ID,Google Maps Link
UnionBank of the Philippines - Navotas,Bank,OPERATIONAL,Navotas,NCR,NCR,"817 M M. Naval St, Navotas, 1485 Metro Manila, Philippines",14.6560006,120.9481008,1.8,15,ChIJR7etkay1lzMRDnh6qaqvl7Y,https://www.google.com/maps/place/?q=place_id:ChIJR7etkay1lzMRDnh6qaqvl7Y
UnionBank of the Philippines - Sto. Cristo,Bank,OPERATIONAL,Manila,NCR,NCR,"Burke Plaza, Sto Cristo Street Units LG 01, 02, 06, cor San Fernando St, Binondo, Manila, 1010, Philippines",14.5996085,120.9728431,4.8,5,ChIJMzxEQBrKlzMRsNfUUaFILlk,https://www.google.com/maps/place/?q=place_id:ChIJMzxEQBrKlzMRsNfUUaFILlk
UnionBank of the Philippines - Dasmarinas-Binondo,Bank,OPERATIONAL,Manila,NCR,NCR,"Q. Paredes Street G.A.Cu-Unjieng Bldg, corner Dasmariñas St, Binondo, Manila, 1006, Philippines",14.5975743,120.9764302,2.2,13,ChIJWSLbdhrKlzMR8dUlqDpv1eM,https://www.google.com/maps/place/?q=place_id:ChIJWSLbdhrKlzMR8dUlqDpv1eM
UnionBank of the Philippines - Mayhaligue,Bank,OPERATIONAL,Manila,NCR,NCR,"1420 Masangkay Street G/F One Masangkay Place, Sta Cruz, Mayhaligue St, Manila, 1012, Philippines",14.6095501,120.9798931,,,ChIJxSZ1EwfKlzMRm3qYzBKBf-0,https://www.google.com/maps/place/?q=place_id:ChIJxSZ1EwfKlzMRm3qYzBKBf-0
UnionBank of the Philippines - Vertex One,Bank,OPERATIONAL,Manila,NCR,NCR,"Vertex One, 2113 Felix Huertas, building San Lazaro, Manila, 1014, Philippines",14.6194344,120.9850132,2.5,19,ChIJm6pPJP21lzMRlTt4T3V1KAY,https://www.google.com/maps/place/?q=place_id:ChIJm6pPJP21lzMRlTt4T3V1KAY
ATM - Unionbank,ATM,OPERATIONAL,Cabanatuan City,Nueva Ecija,Central Luzon,"FXQ8+M79, P. Burgos Street, Cabanatuan City, Nueva Ecija, Philippines",15.4891461,120.9657266,3.5,2,ChIJ9W3lwyEplzMRYFiXVBP7b8Y,https://www.google.com/maps/place/?q=place_id:ChIJ9W3lwyEplzMRYFiXVBP7b8Y
UnionBank of the Philippines - C5-QC/Libis,Bank,OPERATIONAL,Quezon City,NCR,NCR,"184b Eulogio Rodriguez Jr. Ave, Quezon City, 1110 Metro Manila, Philippines",14.6089747,121.0774483,2.3,18,ChIJxa7vsPe3lzMRRy7a5ghWqnM,https://www.google.com/maps/place/?q=place_id:ChIJxa7vsPe3lzMRRy7a5ghWqnM
UnionBank of the Philippines - Eastwood City,Bank,OPERATIONAL,Quezon City,NCR,NCR,"Eastwood Palm Tree Avenue, G/F Unit LGR1-6, East Le Grand Tower, One 1 Brgy, Quezon City, 1110, Philippines",14.6079185,121.0815524,1.9,29,ChIJ63k3rve3lzMRaMAM7Sratv8,https://www.google.com/maps/place/?q=place_id:ChIJ63k3rve3lzMRaMAM7Sratv8
UnionBank of the Philippines - Acropolis,Bank,OPERATIONAL,Quezon City,NCR,NCR,"Bridgeview Bldg, 171 Eulogio Rodriguez Jr. Ave, Quezon City, 1110 Metro Manila, Philippines",14.6097395,121.0761121,2.2,6,ChIJB3AUwve3lzMRqhHGGYROxRU,https://www.google.com/maps/place/?q=place_id:ChIJB3AUwve3lzMRqhHGGYROxRU
UnionBank of the Philippines - Sto. Domingo,Bank,OPERATIONAL,Quezon City,NCR,NCR,"560 Quezon Avenue G/F Elements Bldg, Brgy, Quezon City, 1114, Philippines",14.6255464,121.0105827,3.4,18,ChIJo1wTsfe3lzMR7YY0PZc4Ae8,https://www.google.com/maps/place/?q=place_id:ChIJo1wTsfe3lzMR7YY0PZc4Ae8
UnionBank ATM - PELCO,ATM,OPERATIONAL,Mexico,Pampanga,Central Luzon,"Pampanga I Electric Coop Inc, Mexico, Pampanga, Philippines",15.0743071,120.7488136,,,ChIJR-_li-f7ljMRpIp0jwgaXI0,https://www.google.com/maps/place/?q=place_id:ChIJR-_li-f7ljMRpIp0jwgaXI0
UnionBank ATM - SL Clark,ATM,OPERATIONAL,Mabalacat City,Pampanga,Central Luzon,"Building, Berthaphil II, Clarkfield, Jose Abad Santos Avenue, Clark Freeport, Mabalacat City, Pampanga, Philippines",15.1768629,120.5308342,,,ChIJgz7iH1vtljMR4j9iukLr8q8,https://www.google.com/maps/place/?q=place_id:ChIJgz7iH1vtljMR4j9iukLr8q8
Union Bank Atm,ATM,OPERATIONAL,Mabalacat City,Pampanga,Central Luzon,"The Pavilion Mall, M.A Roxas Highway, Clark Freeport, Mabalacat City, 2009 Pampanga, Philippines",15.1735635,120.5358036,3.7,3,ChIJP3M9u6nyljMRPBX9LyyJEg0,https://www.google.com/maps/place/?q=place_id:ChIJP3M9u6nyljMRPBX9LyyJEg0
UnionBank ATM - PILMICO Tarlac,ATM,OPERATIONAL,Capas,Tarlac,Central Luzon,"Santo Domingo, MacArthur Hwy, Capas, Tarlac, Philippines",15.3529394,120.599625,1,1,ChIJs7UXE__BljMR0p79kSjP-BU,https://www.google.com/maps/place/?q=place_id:ChIJs7UXE__BljMR0p79kSjP-BU
UnionBank ATM - SITEL Tarlac,ATM,OPERATIONAL,Tarlac City,Tarlac,Central Luzon,"Level 2 Robinsons Place, Tarlac City, Tarlac, Philippines",15.4314062,120.5995504,3.7,3,ChIJR8JN6yzHljMR9OiCxUElsOE,https://www.google.com/maps/place/?q=place_id:ChIJR8JN6yzHljMR9OiCxUElsOE
Unionbank - Frontera Verde,Bank,OPERATIONAL,Pasig,NCR,NCR,"Transcom Bldg, Eulogio Rodriguez Jr. Ave, Pasig, 1604 Metro Manila, Philippines",14.5869299,121.0789901,1.9,35,ChIJDdYN8wfIlzMRhkyWvIqU6Ok,https://www.google.com/maps/place/?q=place_id:ChIJDdYN8wfIlzMRhkyWvIqU6Ok
